,var1,var2,cluster
1076,49.2777995,-123.1254756,0
1077,49.2543205,-123.2354781,0
1078,49.278490600000005,-123.1244505,0
1682,49.2902415,-123.13444399999999,0
1081,49.254194,-123.2360217,0
1083,49.288292,-123.14005,0
1067,49.3012245,-123.1570713,0
1706,49.2693508,-123.1308317,0
1707,49.276235299999996,-123.1250123,0
1708,49.2759195,-123.1245551,0
969,49.2680714,-123.1568116,0
970,49.2680988,-123.1580755,0
972,49.2681956,-123.14846059999999,0
973,49.2683097,-123.1546683,0
974,49.2682731,-123.1536977,0
975,49.2681756,-123.14814779999999,0
976,49.2682306,-123.15174250000001,0
977,49.2682348,-123.1518413,0
978,49.2679785,-123.1514269,0
979,49.2682334,-123.1515788,0
980,49.2738934,-123.1327757,0
981,49.2834375,-123.10443000000001,0
982,49.2766922,-123.1202664,0
983,49.2776864,-123.116068,0
984,49.3139854,-123.07900929999998,0
985,49.3139495,-123.07891090000001,0
1738,49.27417929999999,-123.13285649999999,0
1709,49.2756856,-123.12206609999998,0
1710,49.279601799999995,-123.10059620000001,0
1711,49.277846999999994,-123.12481609999999,0
1713,49.2870535,-123.1246502,0
1714,49.28456920000001,-123.1229311,0
1719,49.278797,-123.1240061,0
1681,49.2528231,-123.10113179999999,0
1010,49.280638,-123.1310878,0
1001,49.263431,-123.1365721,0
1000,49.262950399999994,-123.0974611,0
999,49.28049,-123.13163840000001,0
997,49.276909100000005,-123.13077009999999,0
995,49.2879481,-123.12381270000002,0
1736,49.256182,-123.10104,0
1722,49.264856,-123.10860840000001,0
1680,49.2663539,-123.1040979,0
1675,49.2643516,-123.17646709999998,0
1097,49.234596100000005,-123.1845122,0
1154,49.264159,-123.1654098,0
1156,49.25457670000001,-123.1149923,0
1157,49.2873114,-123.1171281,0
1158,49.2837118,-123.11358349999999,0
1162,49.2631815,-123.1220615,0
1642,49.276096200000005,-123.1211142,0
1641,49.2757912,-123.1215871,0
1167,49.278668599999996,-123.1282908,0
1640,49.2756803,-123.12175330000001,0
1638,49.267894399999996,-123.1462252,0
1172,49.2662407,-123.24751499999999,0
1173,49.266292299999996,-123.2471797,0
1175,49.26355770000001,-123.11267360000001,0
1177,49.287410200000004,-123.11752609999999,0
1634,49.3260816,-123.0724628,0
1633,49.3222679,-123.0714,0
1627,49.2759188,-123.12137779999999,0
1201,49.2590347,-123.15287420000001,0
1200,49.266623200000005,-123.1454087,0
1199,49.2653382,-123.1450262,0
1198,49.2629456,-123.09721909999999,0
1197,49.263463,-123.0998125,0
1196,49.2631016,-123.1200437,0
1153,49.2881797,-123.11712469999999,0
1195,49.2634656,-123.1200652,0
1193,49.263063200000005,-123.1125425,0
1192,49.2557109,-123.1153628,0
1191,49.249701200000004,-123.1151877,0
1190,49.2498312,-123.11559220000001,0
1189,49.24986810000001,-123.11518999999998,0
1626,49.2916032,-123.12847520000001,0
1194,49.2637006,-123.12147390000001,0
967,49.2681046,-123.1582908,0
1655,49.283846000000004,-123.10940900000001,0
1150,49.266309899999996,-123.2470453,0
1098,49.2344723,-123.1595022,0
1099,49.2345042,-123.157945,0
1100,49.2347568,-123.1587655,0
1103,49.257224900000004,-123.1852331,0
1104,49.321579799999995,-123.07257779999999,0
1672,49.275536100000004,-123.12084109999998,0
1669,49.2784378,-123.124545,0
1118,49.263816399999996,-123.1016653,0
1119,49.2643668,-123.1011666,0
1667,49.280327500000006,-123.11049380000001,0
1666,49.2801513,-123.10987250000001,0
1122,49.261390399999996,-123.1532615,0
1123,49.262124799999995,-123.15323740000001,0
1124,49.262365100000004,-123.1532375,0
1125,49.2629899,-123.15275020000001,0
1126,49.2631117,-123.1179865,0
1127,49.26307979999999,-123.11606359999999,0
1149,49.2684412,-123.1647514,0
1146,49.2791309,-123.1234758,0
1660,49.3791266,-123.33862509999999,0
1665,49.2879677,-123.1214202,0
1143,49.2792632,-123.11611,0
1142,49.2781459,-123.11723810000001,0
1656,49.282942799999994,-123.1092138,0
1141,49.276561799999996,-123.1193697,0
1139,49.26428,-123.17229250000001,0
1138,49.279701700000004,-123.1226378,0
1137,49.26374620000001,-123.13693810000001,0
1136,49.263849,-123.14211440000001,0
1135,49.285494299999996,-123.1171956,0
1134,49.2659729,-123.2424709,0
1140,49.27577479999999,-123.12051640000001,0
553,49.275651,-123.20175420000001,0
731,49.2633147,-123.1291653,0
1938,49.2600597,-123.1013385,0
2066,49.2643496,-123.17655549999999,0
2065,49.2643924,-123.1782983,0
2064,49.2642424,-123.1703112,0
2063,49.2647216,-123.10063240000001,0
2062,49.2612114,-123.09760929999999,0
113,49.2513521,-123.1011962,0
2060,49.2914917,-123.1352004,0
111,49.2832439,-123.104844,0
110,49.2467148,-123.1010057,0
109,49.2458146,-123.09000870000001,0
2213,49.2876624,-123.1155926,0
2217,49.263701700000006,-123.2094864,0
2218,49.2637026,-123.20958470000001,0
2219,49.282614,-123.123415,0
2220,49.2815936,-123.12375420000001,0
359,49.291031700000005,-123.13452140000001,0
360,49.291575200000004,-123.1350632,0
361,49.290869,-123.13617260000001,0
362,49.290966299999994,-123.1364555,0
363,49.2911594,-123.1361591,0
364,49.2914,-123.1357879,0
2067,49.264355,-123.17693700000001,0
2068,49.2748025,-123.1229936,0
114,49.250780299999995,-123.10117350000002,0
2073,49.2532308,-123.0897453,0
138,49.241268100000006,-123.10164590000001,0
316,49.2717729,-123.0951169,0
2203,49.280893299999995,-123.0853364,0
317,49.323744299999994,-123.1111037,0
318,49.3244385,-123.10819070000001,0
319,49.32406760000001,-123.11203259999999,0
320,49.323471000000005,-123.11434990000001,0
136,49.2633312,-123.1130836,0
135,49.263645600000004,-123.13169440000001,0
321,49.3237357,-123.1151229,0
365,49.2869563,-123.1419736,0
134,49.26350720000001,-123.12489939999999,0
133,49.263537,-123.1271949,0
132,49.2842334,-123.1090325,0
323,49.3174516,-123.11202820000001,0
2084,49.2889974,-123.13942079999998,0
129,49.28146829999999,-123.1172443,0
2206,49.3241041,-123.1121169,0
336,49.3556326,-123.10590330000001,0
123,49.2630411,-123.10154140000002,0
2207,49.2609945,-123.1008149,0
2074,49.2549573,-123.08967820000001,0
322,49.323675,-123.107436,0
2085,49.271813200000004,-123.1904797,0
2223,49.254637100000004,-123.1149825,0
367,49.29062570000001,-123.1369719,0
2040,49.3281899,-123.1551562,0
2039,49.3277186,-123.1541273,0
2038,49.328868299999996,-123.1562631,0
401,49.2732782,-123.11966399999999,0
66,49.2827166,-123.1048014,0
402,49.2861746,-123.11697679999999,0
405,49.2818072,-123.1240096,0
2250,49.263833899999995,-123.1137006,0
406,49.281708200000004,-123.1238709,0
2253,49.3263042,-123.14396640000001,0
409,49.2802018,-123.13067079999999,0
2254,49.281185,-123.13222749999998,0
411,49.2884539,-123.13980690000001,0
412,49.2630575,-123.11644309999998,0
2037,49.3284102,-123.15844950000002,0
2036,49.3283331,-123.15816229999999,0
415,49.2906033,-123.1333902,0
416,49.29019470000001,-123.1338172,0
417,49.290164399999995,-123.1337321,0
418,49.3123989,-123.0778703,0
2255,49.2793936,-123.12350359999998,0
2041,49.328382700000006,-123.1562592,0
67,49.281305700000004,-123.10797029999999,0
393,49.260845200000006,-123.1008071,0
2164,49.25773220000001,-123.1390746,0
368,49.2907765,-123.13673840000001,0
369,49.2838137,-123.10660990000001,0
370,49.30999979999999,-123.08204070000001,0
371,49.312149,-123.07703590000001,0
372,49.3118497,-123.07648470000001,0
373,49.283145899999994,-123.10303600000002,0
2224,49.260606,-123.11539599999999,0
374,49.2888741,-123.13173,0
375,49.2899063,-123.1333084,0
2226,49.263667,-123.2087251,0
366,49.2922345,-123.13467140000002,0
377,49.261624,-123.13806799999999,0
2231,49.2472691,-123.10094690000001,0
2232,49.247054299999995,-123.1009591,0
2233,49.2682468,-123.15255490000001,0
2235,49.26354370000001,-123.14636850000001,0
2236,49.2631899,-123.12245700000001,0
90,49.28903,-123.13132759999998,0
89,49.2880008,-123.14035679999999,0
2044,49.2791657,-123.1167412,0
389,49.253994,-123.23535459999998,0
78,49.3266192,-123.1380363,0
378,49.2634412,-123.1399645,0
419,49.3334059,-123.0886973,0
2086,49.281163799999995,-123.1218545,0
140,49.290772499999996,-123.13407820000002,0
2144,49.289165000000004,-123.1322203,0
2143,49.2777744,-123.12752009999998,0
243,49.269267,-123.138821,0
244,49.2764454,-123.1195159,0
245,49.27639979999999,-123.1196013,0
246,49.2759204,-123.1203048,0
248,49.278575,-123.11411229999999,0
249,49.2762885,-123.11975659999999,0
1936,49.255977,-123.18491999999999,0
250,49.25904570000001,-123.13892879999999,0
187,49.2745568,-123.1232818,0
186,49.2747239,-123.1227038,0
185,49.274232,-123.12393349999999,0
2140,49.2601931,-123.13894679999999,0
183,49.2839339,-123.1223497,0
2139,49.2609013,-123.13827409999999,0
182,49.2915693,-123.1275164,0
2138,49.2892662,-123.12693689999999,0
2173,49.284777399999996,-123.11688529999999,0
176,49.286609000000006,-123.1405889,0
175,49.286953600000004,-123.14108190000002,0
188,49.2744227,-123.1235737,0
189,49.274321,-123.12377479999999,0
190,49.275171,-123.1225726,0
191,49.2751034,-123.12208290000001,0
224,49.247550700000005,-123.1013532,0
223,49.283581899999994,-123.10406780000001,0
2167,49.263150599999996,-123.12162820000002,0
219,49.2658558,-123.2544402,0
213,49.282627399999996,-123.12521329999998,0
212,49.2559475,-123.0877967,0
211,49.255696,-123.08965249999999,0
204,49.321953,-123.0728213,0
