,var1,var2,cluster
5621,49.125657000000004,-123.18151409999999,0
5622,49.1552104,-123.1361638,0
1340,49.1953403,-123.1828912,0
5623,49.1708367,-123.1372351,0
5625,49.149156,-123.1826399,0
7326,49.1391819,-123.1384067,0
5626,49.1538006,-123.1566963,0
5627,49.168133399999995,-123.1372055,0
5628,49.1705859,-123.1382135,0
4941,49.0248531,-123.0668815,0
7322,49.165048999999996,-123.13627,0
7321,49.164252600000005,-123.13470509999999,0
7320,49.1643311,-123.1363358,0
2651,49.1774976,-123.1201449,0
5636,49.211253,-123.1401676,0
7316,49.192637899999994,-123.10135030000001,0
5624,49.132039299999995,-123.0976582,0
1341,49.19556,-123.1832043,0
1342,49.1877145,-123.0806283,0
7349,49.14012,-123.13739790000001,0
5577,49.1357669,-123.02457240000001,0
5578,49.0899906,-123.080656,0
4952,49.219277000000005,-123.1491091,0
2696,49.1705269,-123.1387041,0
2695,49.1700042,-123.1818523,0
2694,49.170953499999996,-123.18243989999999,0
6926,49.187017299999994,-123.13318629999999,0
2692,49.17035739999999,-123.1815541,0
1367,49.17809260000001,-123.1318267,0
1366,49.178971000000004,-123.13235259999999,0
1365,49.17897,-123.1320471,0
1364,49.178515000000004,-123.13183149999999,0
1363,49.178075,-123.1293075,0
1362,49.1784672,-123.13066470000001,0
1361,49.1784635,-123.1274605,0
3916,49.0848614,-123.1087912,0
2684,49.1859437,-123.13366450000001,0
1360,49.178688,-123.12880729999999,0
1359,49.178549600000004,-123.1287621,0
7361,49.1253223,-123.1828673,0
7360,49.1250197,-123.18135559999999,0
838,49.1537523,-123.1584726,0
839,49.1537636,-123.15664440000002,0
840,49.1548975,-123.1578804,0
841,49.1389036,-123.13817390000001,0
842,49.1707458,-123.13723619999999,0
844,49.1329664,-123.09808259999998,0
7382,49.184303299999996,-123.09233059999998,0
3893,49.17576029999999,-123.1425081,0
717,49.1266217,-123.18309509999999,0
715,49.129375700000004,-123.0952983,0
6649,49.179612299999995,-123.1350537,0
6650,49.1800399,-123.1351841,0
7670,49.2106799,-123.10281040000001,0
7665,49.1912497,-123.1286598,0
7664,49.1912604,-123.1294094,0
4586,49.1838659,-123.08202,0
7663,49.1699001,-123.0911621,0
7662,49.1921658,-123.0837309,0
7661,49.192232399999995,-123.0919278,0
7660,49.190695,-123.1392314,0
7659,49.1763527,-123.13182549999999,0
4584,49.1776263,-123.1370535,0
6648,49.1794685,-123.13511740000001,0
4583,49.1780903,-123.13598459999999,0
7655,49.0405959,-123.08974979999999,0
7654,49.0407321,-123.08722399999999,0
7653,49.0399664,-123.08944009999999,0
7652,49.0416362,-123.0830145,0
7651,49.0417051,-123.0830195,0
4581,49.1774901,-123.1292862,0
557,49.1732098,-123.0700815,0
4580,49.1777093,-123.12537749999998,0
4579,49.177498299999996,-123.1253656,0
5056,49.16401870000001,-123.14157009999998,0
4572,49.2106257,-123.0923821,0
3704,49.195587200000006,-123.17406880000001,0
4582,49.1774963,-123.13007720000002,0
6647,49.1776609,-123.13556640000002,0
6646,49.1785578,-123.13525209999999,0
6645,49.1797165,-123.1392749,0
5390,49.139683700000006,-123.1378713,0
3498,49.091413,-123.0789202,0
