,Unnamed: 0_x,var1,var2,cluster_x,Unnamed: 0_y,cluster_y
4032,6597,49.3200814,-123.0702446,3,177.0,1.0
4034,6170,49.2638501,-123.1448497,3,158.0,1.0
4070,5848,49.2802313,-123.1103114,3,235.0,1.0
4143,6033,49.3359055,-123.0376105,3,151.0,1.0
4144,6034,49.2637937,-123.1399831,3,152.0,1.0
4171,2752,49.28384370000001,-123.1053674,3,72.0,1.0
4350,909,49.2638283,-123.14137859999998,3,220.0,1.0
4355,2664,49.2799326,-123.13025220000002,3,69.0,1.0
4459,3226,49.285769,-123.1247049,3,74.0,1.0
4663,1634,49.288332,-123.1225965,3,40.0,1.0
4672,2036,49.2883458,-123.1404577,3,226.0,1.0
4702,2068,49.227687,-123.0904914,3,56.0,7.0
4742,1921,49.2798153,-123.1236381,3,51.0,1.0
4798,1674,49.2632255,-123.1333895,3,44.0,1.0
4807,1641,49.2293878,-123.0904982,3,41.0,7.0
4841,1961,49.2711559,-123.1358083,3,53.0,1.0
4859,1298,49.2790657,-123.0999382,3,32.0,1.0
4878,1315,49.3240623,-123.1087802,3,33.0,1.0
4880,1373,49.2623856,-123.0570115,3,223.0,1.0
4904,1314,49.3244571,-123.1076419,3,222.0,1.0
4947,2431,49.28183189999999,-123.1234128,3,66.0,1.0
5176,3748,49.288292,-123.14005,3,94.0,1.0
5177,3750,49.2251548,-123.1018741,3,95.0,7.0
5283,3607,49.285504,-123.11881499999998,3,90.0,1.0
5312,4070,49.2634282,-123.1170237,3,101.0,1.0
5317,70,49.2665754,-123.103744,3,2.0,1.0
5325,4079,49.2544914,-123.1012783,3,102.0,1.0
5431,3908,49.2750892,-123.1227583,3,99.0,1.0
5437,3868,49.26307979999999,-123.1160636,3,97.0,1.0
5475,133,49.2875631,-123.129718,3,5.0,1.0
5488,121,49.325981,-123.14233670000002,3,4.0,1.0
5504,3929,49.27975120000001,-123.1235262,3,230.0,1.0
5548,3383,49.268201,-123.1486188,3,81.0,1.0
5559,3287,49.2627174,-123.1000189,3,75.0,1.0
5601,3295,49.3210825,-123.0956321,3,77.0,1.0
5610,545,49.2907725,-123.13407820000002,3,13.0,1.0
5621,544,49.291387,-123.1350164,3,12.0,1.0
5641,522,49.2634241,-123.1173128,3,11.0,1.0
5666,3357,49.2681518,-123.1463206,3,80.0,1.0
5762,5185,49.1129138,-122.6681084,4,131.0,5.0
5775,5187,49.1129178,-122.6625851,4,132.0,5.0
5778,8085,49.219668,-122.6557491,4,210.0,5.0
5787,8082,49.1654248,-122.6646457,4,208.0,5.0
5789,5189,49.1129898,-122.666724,4,234.0,5.0
5792,1861,49.2183727,-122.6538329,4,48.0,5.0
5819,1828,49.0910725,-122.6074795,4,47.0,5.0
5850,3322,49.1637059,-122.6604812,4,78.0,5.0
5851,5223,49.2202683,-122.64960390000002,4,136.0,5.0
5956,6370,49.2201784,-122.6577511,4,165.0,5.0
5963,5035,49.220176,-122.6629221,4,125.0,5.0
5972,6461,49.1097163,-122.6789018,4,239.0,5.0
5977,6459,49.1121157,-122.6506343,4,168.0,5.0
5982,6465,49.1170227,-122.6751086,4,169.0,5.0
5997,5169,49.1026873,-122.6456899,4,130.0,5.0
6006,4256,49.2179441,-122.6483993,4,104.0,5.0
6031,1869,49.218154,-122.6436783,4,49.0,5.0
6100,6957,49.116251,-122.6703778,4,183.0,5.0
6115,5876,49.21722800000001,-122.5936509,4,236.0,5.0
6117,7745,49.1194864,-122.664838,4,201.0,5.0
6135,318,49.1660159,-122.6635496,4,8.0,5.0
6159,315,49.1674933,-122.6674453,4,7.0,5.0
6171,803,49.1693268,-122.6664782,4,17.0,5.0
