id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
448104,Home (Office) Away from Home – Heart of Downtown,179396,Lili,,Downtown,49.28063,-123.12502,Entire home/apt,138,30,257,2020-03-31,3.33,3,0
461370,Lovely large room w/ private bath,1200456,Nala,,Killarney,49.22834,-123.03047,Private room,84,30,44,2019-09-22,0.46,7,365
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.23034,-123.02971,Private room,84,30,35,2019-09-02,0.41,7,365
475296,Entire 1400sf white loft with large deck + rooftop,2356016,Jocelyn,,Downtown Eastside,49.28241,-123.10381,Entire home/apt,397,1,145,2021-04-14,5.82,1,350
485225,condos in vancouver BC,103427,Jacqueline M,,Downtown,49.28052,-123.12691,Entire home/apt,339,2,1,2014-08-04,0.01,1,365
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,124,31,158,2017-06-15,1.80,1,278
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,375,5,29,2020-08-10,0.27,2,205
507767,LEVEL | One Bedroom Suite | Downtown Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.27741,-123.12292,Entire home/apt,265,30,3,2013-06-03,0.04,22,365
540348,Modern Architectural lakeside Home On The Park,2655554,Kristen,,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,468,1,34,2021-02-15,0.35,1,330
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,80,30,187,2018-07-25,2.22,2,337
569160,Sunny Sunset Beach & Davie Street,2799473,Heath,,Downtown,49.27713,-123.13155,Entire home/apt,120,30,44,2018-08-02,1.07,1,346
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Sherry,,Downtown,49.27999,-123.1075,Entire home/apt,525,2,43,2021-01-27,0.44,2,340
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,82,30,57,2016-08-19,0.84,1,182
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29178,-123.14175,Entire home/apt,130,30,61,2018-07-29,0.72,1,241
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,77,30,22,2017-06-01,0.22,2,225
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,91,31,27,2018-05-06,0.45,2,0
688038,Vancouver's Beach At Your Doorstep,268742,Kayla,,West End,49.28028,-123.138,Entire home/apt,310,2,29,2019-07-06,0.29,1,297
703179,Entire cute  condo full of art,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,129,2,157,2020-03-17,1.62,1,147
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28104,-123.13621,Entire home/apt,135,30,79,2017-12-07,0.91,1,249
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.26026,-123.18195,Entire home/apt,150,31,11,2020-04-15,0.11,1,88
735468,English Bay Views,3462044,Shea,,West End,49.28059,-123.1364,Entire home/apt,250,1,117,2019-12-13,4.77,1,338
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,,Kitsilano,49.25996,-123.16653,Entire home/apt,125,2,78,2019-08-31,1.31,1,0
763445,Very Convenient Mini-suite,169365,Peter,,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,51,5,180,2020-02-24,3.91,1,14
771366,LEVEL | Studio | Lux Amenities Downtown Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.2794,-123.12181,Entire home/apt,239,30,4,2013-08-10,0.05,22,365
771380,LEVEL | Two Bedroom Suite | Lux Amenities Downtown,2502595,LEVEL Furnished Living,,Downtown,49.27918,-123.12187,Entire home/apt,400,30,7,2014-10-01,0.07,22,365
784153,The Garden Quarter in Kitsilano,3211112,Rasha,,Kitsilano,49.26186,-123.17438,Entire home/apt,66,30,50,2015-10-06,1.33,3,223
785297,The Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26355,-123.17326,Private room,47,14,66,2021-01-03,0.79,3,301
785752,The Garden Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26213,-123.17482,Entire home/apt,114,30,3,2016-09-17,0.03,3,205
796603,Exellent for International Student,4196444,Milorad,,West End,49.28087,-123.13525,Shared room,30,30,0,,,1,0
798293,Studio apartment-like a 3+star hotel,72649,Melanie,,Downtown,49.27719,-123.13011,Entire home/apt,120,90,57,2019-12-30,0.55,1,175
801222,fully furnished suite near VGH,4217281,Jennifer,,Fairview,49.25804,-123.12119,Entire home/apt,75,30,22,2015-07-07,0.22,3,294
824612,East Village Private Garden Gem!,4326869,Marketa,,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84,31,63,2017-07-16,0.75,1,177
828920,1 bedroom+Den Monthly rentals only,4345039,Biljana,,Downtown,49.27317,-123.11961,Entire home/apt,170,30,3,2015-11-05,0.04,1,341
874731,Sunny room with private bathroom and large patio,2216706,Matthew,,Fairview,49.25785,-123.12199,Private room,79,6,52,2019-09-27,1.10,1,39
875309,Heritage Home near Kits Beach,4621004,Judy,,Kitsilano,49.27073,-123.16325,Entire home/apt,275,7,32,2018-11-18,0.44,1,193
